Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter    500 |loss  -0.13 |n_ep   133 |ep_len   31.1 |ep_rew  -0.24 |raw_ep_rew   0.66 |env_step   4000 |time 00:30 rem 1004:37
iter  48000 |loss  -0.14 |n_ep  8382 |ep_len   66.8 |ep_rew   0.88 |raw_ep_rew  11.15 |env_step 384000 |time 48:51 rem 968:54
iter  48500 |loss   0.03 |n_ep  8441 |ep_len   61.6 |ep_rew   0.80 |raw_ep_rew   9.90 |env_step 388000 |time 49:21 rem 968:21
iter  49000 |loss  -0.06 |n_ep  8502 |ep_len   53.8 |ep_rew   0.58 |raw_ep_rew   9.91 |env_step 392000 |time 49:51 rem 967:48
iter  49500 |loss  -0.14 |n_ep  8558 |ep_len   68.8 |ep_rew   0.92 |raw_ep_rew   9.25 |env_step 396000 |time 50:22 rem 967:16
iter  50000 |loss  -0.04 |n_ep  8611 |ep_len   76.2 |ep_rew   1.07 |raw_ep_rew  10.11 |env_step 400000 |time 50:52 rem 966:43
iter  50500 |loss   0.05 |n_ep  8660 |ep_len   75.9 |ep_rew   1.18 |raw_ep_rew  10.96 |env_step 404000 |time 51:23 rem 966:10
iter  51000 |loss  -0.04 |n_ep  8723 |ep_len   64.4 |ep_rew   0.78 |raw_ep_rew   8.91 |env_step 408000 |time 51:53 rem 965:37
iter  51500 |loss   0.12 |n_ep  8770 |ep_len   89.9 |ep_rew   1.34 |raw_ep_rew  10.04 |env_step 412000 |time 52:23 rem 965:03
iter  52000 |loss   0.12 |n_ep  8828 |ep_len   66.5 |ep_rew   0.83 |raw_ep_rew  10.51 |env_step 416000 |time 52:54 rem 964:32
iter  52500 |loss   0.00 |n_ep  8883 |ep_len   66.8 |ep_rew   0.86 |raw_ep_rew  10.32 |env_step 420000 |time 53:24 rem 963:59
iter  53000 |loss   0.07 |n_ep  8929 |ep_len   99.8 |ep_rew   1.69 |raw_ep_rew  11.00 |env_step 424000 |time 53:55 rem 963:26
iter  53500 |loss   0.06 |n_ep  8987 |ep_len   83.3 |ep_rew   1.44 |raw_ep_rew  10.88 |env_step 428000 |time 54:25 rem 962:54
iter  54000 |loss   0.04 |n_ep  9041 |ep_len   75.2 |ep_rew   1.06 |raw_ep_rew  11.15 |env_step 432000 |time 54:56 rem 962:22
iter  54500 |loss  -0.01 |n_ep  9097 |ep_len   76.3 |ep_rew   1.03 |raw_ep_rew  10.18 |env_step 436000 |time 55:26 rem 961:50
iter  55000 |loss  -0.12 |n_ep  9143 |ep_len   95.7 |ep_rew   1.60 |raw_ep_rew  11.07 |env_step 440000 |time 55:56 rem 961:17
iter  55500 |loss  -0.08 |n_ep  9195 |ep_len   83.0 |ep_rew   1.35 |raw_ep_rew  11.58 |env_step 444000 |time 56:27 rem 960:44
iter  56000 |loss  -0.01 |n_ep  9241 |ep_len  100.1 |ep_rew   1.60 |raw_ep_rew  10.97 |env_step 448000 |time 56:57 rem 960:11
iter  56500 |loss   0.09 |n_ep  9295 |ep_len   72.7 |ep_rew   1.08 |raw_ep_rew   9.73 |env_step 452000 |time 57:28 rem 959:40
iter  57000 |loss   0.02 |n_ep  9345 |ep_len   86.3 |ep_rew   1.55 |raw_ep_rew  10.30 |env_step 456000 |time 57:58 rem 959:06
iter  57500 |loss   0.17 |n_ep  9394 |ep_len   77.1 |ep_rew   1.18 |raw_ep_rew  12.59 |env_step 460000 |time 58:28 rem 958:32
iter  58000 |loss  -0.24 |n_ep  9440 |ep_len   86.4 |ep_rew   1.31 |raw_ep_rew  12.35 |env_step 464000 |time 58:59 rem 958:00
iter  58500 |loss  -0.09 |n_ep  9485 |ep_len   87.6 |ep_rew   1.55 |raw_ep_rew  14.35 |env_step 468000 |time 59:29 rem 957:28
iter  59000 |loss   0.27 |n_ep  9526 |ep_len   89.1 |ep_rew   1.37 |raw_ep_rew  13.88 |env_step 472000 |time 59:59 rem 956:54
iter  59500 |loss   0.04 |n_ep  9572 |ep_len   95.5 |ep_rew   1.56 |raw_ep_rew  13.28 |env_step 476000 |time 60:30 rem 956:21
iter  60000 |loss  -0.24 |n_ep  9617 |ep_len   97.6 |ep_rew   1.71 |raw_ep_rew  13.62 |env_step 480000 |time 61:00 rem 955:49
iter  60500 |loss  -0.04 |n_ep  9658 |ep_len  106.0 |ep_rew   1.92 |raw_ep_rew  15.10 |env_step 484000 |time 61:30 rem 955:16
iter  61000 |loss   0.08 |n_ep  9701 |ep_len   91.4 |ep_rew   1.52 |raw_ep_rew  13.98 |env_step 488000 |time 62:01 rem 954:43
iter  61500 |loss   0.09 |n_ep  9743 |ep_len   98.1 |ep_rew   1.75 |raw_ep_rew  14.79 |env_step 492000 |time 62:31 rem 954:09
iter  62000 |loss   0.07 |n_ep  9777 |ep_len  126.7 |ep_rew   2.58 |raw_ep_rew  16.90 |env_step 496000 |time 63:01 rem 953:37
iter  62500 |loss  -0.13 |n_ep  9818 |ep_len   97.3 |ep_rew   1.83 |raw_ep_rew  17.28 |env_step 500000 |time 63:32 rem 953:04
iter  63000 |loss   0.20 |n_ep  9854 |ep_len  104.3 |ep_rew   1.85 |raw_ep_rew  15.16 |env_step 504000 |time 64:02 rem 952:29
iter  63500 |loss   0.05 |n_ep  9901 |ep_len   84.2 |ep_rew   1.50 |raw_ep_rew  15.22 |env_step 508000 |time 64:32 rem 951:57
iter  64000 |loss  -0.05 |n_ep  9945 |ep_len   93.9 |ep_rew   1.57 |raw_ep_rew  15.23 |env_step 512000 |time 65:03 rem 951:24
iter  64500 |loss  -0.14 |n_ep  9979 |ep_len  114.1 |ep_rew   2.20 |raw_ep_rew  15.97 |env_step 516000 |time 65:33 rem 950:51
iter  65000 |loss  -0.06 |n_ep 10020 |ep_len   94.2 |ep_rew   1.64 |raw_ep_rew  15.68 |env_step 520000 |time 66:03 rem 950:18
iter  65500 |loss   0.07 |n_ep 10058 |ep_len  102.0 |ep_rew   1.77 |raw_ep_rew  15.88 |env_step 524000 |time 66:34 rem 949:44
iter  66000 |loss   0.07 |n_ep 10099 |ep_len   82.2 |ep_rew   1.72 |raw_ep_rew  17.53 |env_step 528000 |time 67:04 rem 949:13
iter  66500 |loss   0.07 |n_ep 10135 |ep_len  109.6 |ep_rew   2.08 |raw_ep_rew  18.88 |env_step 532000 |time 67:34 rem 948:39
iter  67000 |loss   0.10 |n_ep 10172 |ep_len  124.2 |ep_rew   2.61 |raw_ep_rew  19.62 |env_step 536000 |time 68:05 rem 948:06
